Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Pyrenophora tritici-repentis strain I-34-1 contig00081,594,1125,100%,0.0,88.02,90817,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBXP010000081.1?report=genbank&log$=nucltop&blast_rank=33&RID=YYXWE4EY014"",""JAMBXP010000081.1"")"
Pyrenophora tritici-repentis strain I-35-18 contig00013,594,1125,100%,0.0,88.02,198753,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBXO010000013.1?report=genbank&log$=nucltop&blast_rank=34&RID=YYXWE4EY014"",""JAMBXO010000013.1"")"
Pyrenophora tritici-repentis isolate I-73-1 chromosome 9,594,1125,100%,0.0,88.02,4003078,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAKRER010000022.1?report=genbank&log$=nucltop&blast_rank=35&RID=YYXWE4EY014"",""JAKRER010000022.1"")"
Pyrenophora tritici-repentis isolate Biotrigo9-1 chromosome 6,594,1125,100%,0.0,88.02,2884932,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAHCYZ010000007.1?report=genbank&log$=nucltop&blast_rank=36&RID=YYXWE4EY014"",""JAHCYZ010000007.1"")"
Pyrenophora tritici-repentis Pt-1C-BFP cont1.234,594,1125,100%,0.0,88.02,228326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/AAXI01000234"",""AAXI01000234.1"")"
Pyrenophora tritici-repentis strain Alg130 Alg130_scaffold_02477,42.7,42.7,14%,0.015,32.56,654,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/RXHN01002419"",""RXHN01002419.1"")"
Pyrenophora tritici-repentis strain Alg4x-1 contig00581,42.7,42.7,14%,0.045,32.56,10931,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBXY010000581.1?report=genbank&log$=nucltop&blast_rank=39&RID=YYXWE4EY014"",""JAMBXY010000581.1"")"
Pyrenophora tritici-repentis isolate Biotrigo9-1 KJE20_contig_00032,67.4,67.4,33%,1e-09,28.33,43865,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAHCYZ010000032.1?report=genbank&log$=nucltop&blast_rank=40&RID=YYXWE4EY014"",""JAHCYZ010000032.1"")"
Pyrenophora tritici-repentis isolate Biotrigo9-1 KJE20_contig_00024,49.7,49.7,18%,4e-04,27.43,53107,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAHCYZ010000024.1?report=genbank&log$=nucltop&blast_rank=41&RID=YYXWE4EY014"",""JAHCYZ010000024.1"")"
Pyrenophora seminiperda CCB06 contig00420,49.7,49.7,18%,4e-04,26.55,25225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/ATLS01000288"",""ATLS01000288.1"")"
Pyrenophora tritici-repentis isolate Biotrigo9-1 KJE20_contig_00027,48.5,48.5,18%,8e-04,26.55,49490,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAHCYZ010000027.1?report=genbank&log$=nucltop&blast_rank=43&RID=YYXWE4EY014"",""JAHCYZ010000027.1"")"
Pyrenophora tritici-repentis strain Ptr90-2 chromosome 11 Ptr902_contig_00010,56.6,56.6,25%,3e-06,25.00,964616,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAAFOX010000010.1?report=genbank&log$=nucltop&blast_rank=44&RID=YYXWE4EY014"",""JAAFOX010000010.1"")"
Pyrenophora tritici-repentis strain 90-2 contig00428,56.2,56.2,25%,3e-06,25.00,3206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYD010000428.1?report=genbank&log$=nucltop&blast_rank=45&RID=YYXWE4EY014"",""JAMBYD010000428.1"")"
Pyrenophora tritici-repentis strain 90-2 contig00209,88.2,88.2,69%,5e-16,23.35,21854,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYD010000209.1?report=genbank&log$=nucltop&blast_rank=46&RID=YYXWE4EY014"",""JAMBYD010000209.1"")"
Pyrenophora tritici-repentis strain 92-171R5 contig00967,87.8,87.8,69%,5e-16,23.35,5744,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYA010000967.1?report=genbank&log$=nucltop&blast_rank=47&RID=YYXWE4EY014"",""JAMBYA010000967.1"")"
Pyrenophora tritici-repentis strain Ptr90-2 chromosome 1 Ptr902_contig_00008,88.2,88.2,69%,6e-16,23.35,1313561,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAAFOX010000008.1?report=genbank&log$=nucltop&blast_rank=48&RID=YYXWE4EY014"",""JAAFOX010000008.1"")"
Pyrenophora tritici-repentis strain 92-171R5 contig00702,89.0,89.0,69%,3e-16,23.00,11128,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYA010000702.1?report=genbank&log$=nucltop&blast_rank=49&RID=YYXWE4EY014"",""JAMBYA010000702.1"")"



		


