Description,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Pyrenophora tritici-repentis strain SW21-1 contig00084,3685,3685,100%,0.0,100.00,95344,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYS010000084.1?report=genbank&log$=nucltop&blast_rank=21&RID=SVF4UNY7014"",""JAMBYS010000084.1"")"
Pyrenophora tritici-repentis strain SW21-7 contig00008,3685,3685,100%,0.0,100.00,261152,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYR010000008.1?report=genbank&log$=nucltop&blast_rank=22&RID=SVF4UNY7014"",""JAMBYR010000008.1"")"
Pyrenophora tritici-repentis strain SW21-8 contig00008,3685,3685,100%,0.0,100.00,261182,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYQ010000008.1?report=genbank&log$=nucltop&blast_rank=23&RID=SVF4UNY7014"",""JAMBYQ010000008.1"")"
Pyrenophora tritici-repentis strain SW7-5 contig00021,3685,3685,100%,0.0,100.00,175414,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYP010000021.1?report=genbank&log$=nucltop&blast_rank=24&RID=SVF4UNY7014"",""JAMBYP010000021.1"")"
Pyrenophora tritici-repentis strain 86-124 contig00036,3685,3685,100%,0.0,100.00,121615,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYO010000036.1?report=genbank&log$=nucltop&blast_rank=25&RID=SVF4UNY7014"",""JAMBYO010000036.1"")"
Pyrenophora tritici-repentis strain AB88-2 contig00199,3685,3685,100%,0.0,100.00,54153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYN010000199.1?report=genbank&log$=nucltop&blast_rank=26&RID=SVF4UNY7014"",""JAMBYN010000199.1"")"
Pyrenophora tritici-repentis strain L2-1 contig00037,3685,3685,100%,0.0,100.00,146021,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYM010000037.1?report=genbank&log$=nucltop&blast_rank=27&RID=SVF4UNY7014"",""JAMBYM010000037.1"")"
Pyrenophora tritici-repentis strain SW1-2 contig00060,3685,3685,100%,0.0,100.00,114354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYL010000060.1?report=genbank&log$=nucltop&blast_rank=28&RID=SVF4UNY7014"",""JAMBYL010000060.1"")"
Pyrenophora tritici-repentis strain SW15-1 contig00092,3685,3685,100%,0.0,100.00,95341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYK010000092.1?report=genbank&log$=nucltop&blast_rank=29&RID=SVF4UNY7014"",""JAMBYK010000092.1"")"
Pyrenophora tritici-repentis strain AZ35-5 contig00075,3685,3685,100%,0.0,100.00,101949,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBXS010000075.1?report=genbank&log$=nucltop&blast_rank=30&RID=SVF4UNY7014"",""JAMBXS010000075.1"")"
Pyrenophora tritici-repentis strain I-34-1 contig00081,3685,3685,100%,0.0,100.00,90817,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBXP010000081.1?report=genbank&log$=nucltop&blast_rank=31&RID=SVF4UNY7014"",""JAMBXP010000081.1"")"
Pyrenophora tritici-repentis strain I-35-18 contig00013,3685,3685,100%,0.0,100.00,198753,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBXO010000013.1?report=genbank&log$=nucltop&blast_rank=32&RID=SVF4UNY7014"",""JAMBXO010000013.1"")"
Pyrenophora tritici-repentis isolate I-73-1 chromosome 9,3685,3685,100%,0.0,100.00,4003078,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAKRER010000022.1?report=genbank&log$=nucltop&blast_rank=33&RID=SVF4UNY7014"",""JAKRER010000022.1"")"
Pyrenophora tritici-repentis Pt-1C-BFP cont1.234,3685,3685,100%,0.0,100.00,228326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/AAXI01000234"",""AAXI01000234.1"")"
Pyrenophora tritici-repentis strain T132-2 contig00068,3681,3681,100%,0.0,99.95,95523,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBYJ010000068.1?report=genbank&log$=nucltop&blast_rank=35&RID=SVF4UNY7014"",""JAMBYJ010000068.1"")"
Pyrenophora tritici-repentis strain T176-2 contig00022,3681,3681,100%,0.0,99.95,143989,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAMBXR010000022.1?report=genbank&log$=nucltop&blast_rank=36&RID=SVF4UNY7014"",""JAMBXR010000022.1"")"
Parastagonospora avenae f. sp. tritici strain SN11IR_6_1.1 ctg00323,3635,3635,100%,0.0,99.46,27662,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWY01000323"",""QVWY01000323.1"")"
Pyrenophora tritici-repentis isolate Biotrigo9-1 chromosome 6,3584,3702,100%,0.0,100.00,2884932,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAHCYZ010000007.1?report=genbank&log$=nucltop&blast_rank=38&RID=SVF4UNY7014"",""JAHCYZ010000007.1"")"
Alternaria sp. 'sect. Undifilum' strain W740-01 Contig00001,3271,3271,100%,0.0,95.55,13242267,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAJJZI010000001.1?report=genbank&log$=nucltop&blast_rank=39&RID=SVF4UNY7014"",""JAJJZI010000001.1"")"
Parastagonospora nodorum strain BRSn9870 ctg00743,1181,1181,100%,0.0,72.85,9558,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWG01000741"",""QVWG01000741.1"")"
Parastagonospora nodorum strain SnSA95.103 ctg05311,985,985,74%,0.0,74.44,3417,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/QVWJ01004988"",""QVWJ01004988.1"")"
Paraphaeosphaeria sporulosa strain DISAAA10515 Scaffold_0268,949,949,93%,0.0,71.20,10678,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAAQOO010000268.1?report=genbank&log$=nucltop&blast_rank=42&RID=SVF4UNY7014"",""JAAQOO010000268.1"")"
Paraphaeosphaeria minitans strain CBS 641.80 scaffold_469,934,934,95%,0.0,71.15,28069,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAECZK010000469.1?report=genbank&log$=nucltop&blast_rank=43&RID=SVF4UNY7014"",""JAECZK010000469.1"")"
Paraphaeosphaeria minitans strain Conio (IMI134523) Scaffold15,930,1212,95%,0.0,71.10,1603724,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/WJXW01000015"",""WJXW01000015.1"")"
Paraphaeosphaeria minitans strain CBS 147.96 scaffold_313,921,921,95%,0.0,71.00,47692,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAECZM010000313.1?report=genbank&log$=nucltop&blast_rank=45&RID=SVF4UNY7014"",""JAECZM010000313.1"")"
Paraphaeosphaeria minitans strain IMI 291453 scaffold_312,921,921,95%,0.0,71.00,47698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAECZI010000312.1?report=genbank&log$=nucltop&blast_rank=46&RID=SVF4UNY7014"",""JAECZI010000312.1"")"
Laburnicola rhizohalophila strain JP-R2018DY-8A chromosome 7,656,1202,94%,0.0,68.09,5075704,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAUOZT010000007.1?report=genbank&log$=nucltop&blast_rank=47&RID=SVF4UNY7014"",""JAUOZT010000007.1"")"
Laburnicola rhizohalophila strain JP-R2018DY-11A chromosome 4,656,916,94%,0.0,68.09,5165667,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAULRH010000004.1?report=genbank&log$=nucltop&blast_rank=48&RID=SVF4UNY7014"",""JAULRH010000004.1"")"
Zopfia rhizophila CBS 207.26 K469scaffold_60_Cont452,653,653,100%,0.0,67.72,8028,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAAEIT010000452.1?report=genbank&log$=nucltop&blast_rank=49&RID=SVF4UNY7014"",""JAAEIT010000452.1"")"
Laburnicola sp. JP_R_19 000073F_pilon_pilon,652,652,94%,0.0,68.03,1043606,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nuccore/VOIT01000078"",""VOIT01000078.1"")"
Laburnicola rhizohalophila strain JP-R-19 chromosome 7,652,912,94%,0.0,68.03,5041560,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/JAUPCS010000007.1?report=genbank&log$=nucltop&blast_rank=51&RID=SVF4UNY7014"",""JAUPCS010000007.1"")"
